Verb,FrameNo,SubFrameNo,Sem,ConstrIndex,Constr,ConstrName,Example,ConstrPattern,Synopsis,Features,FrameNetFrame,MatchEvaluation,Suggestion,Other links
вешать,1,1,помещение объекта,1552,вешать 1.1,1.1_Новоселы вешали занавески.,"Новоселы расставляли в комнатах мебель, вешали занавески. Ты сумеешь сам повесить этот ковер [часы, картину, календарь, люстру]?",Snom V Sacc,1,СВ повесить,Placing,ExactMatch,,
вздыхать,1,1,физиология,1560,вздыхать 1.1,"1.1_Старушка ходила по дому, вздыхала.","Старушка ходила по дому, вздыхала. Ты чего вздыхаешь, обиделся? Командир изредка тяжело вздыхал.",Snom V,1,СВ вздохнуть,Breathing,ExactMatch,,
видеть,1,1,восприятие,1586,видеть 1.1,1.1_Путешественники видят берег.,"Путешественники [у]видели берег [город, скалы, огни]. Он совершенно ясно [отчетливо] видел летающую тарелку.",Snom V Sacc,1,СВ увидеть,Perception_experience,ExactMatch,,
виднеться,1,1,,1607,виднеться 1.1,1.1_Впереди виднелись какие-то строения.,Впереди виднелись какие-то строения. На берегу виднелись камни и обломки досок. В небе чуть виднеется луна. За перегородкой виднеется койка.,Snom V {ADV / PRгде + Sx},,СВ нет,Becoming_visible,ExactMatch,,
включаться,1,1,,11804,включаться 1.1,1.1_Машина включилась от поворота ключа.,,Snom V от + Sgen,,,Change_operational_state,ExactMatch,,
включаться,2,1,,11805,включаться 2.1,2.1_Мелкие компании включаются в корпорацию.,,Snom V в + Sacc,,,Inclusion,ExactMatch,,
включаться,3,1,,11812,включаться 3.1,3.1_Санитарные службы готовы включиться.,Санитарные службы готовы включиться.,Snom V,,СВ включиться,Participation,ExactMatch,,
включить,1,1,,1622,включить 1.1,1.1_Директор включил еще одного сотрудника в состав бригады.,Директор включил еще одного сотрудника в состав бригады [в число соискателей]. Я прошу включить этот вопрос [отчет Иванова] в повестку дня. Необходимо включить в доклад [в список] еще несколько примеров [еще несколько слов]. Он предложил включить в договор [в программу] пункт о научном сотрудничестве.,Snom V Sacc в + Sacc,1,НВ включать,Inclusion,ExactMatch,,
включить,2,1,,1623,включить 2.1,2.1_Рабочий включил мотор.,"Рабочий включил мотор [станок, двигатель, электропилу]. Телефон у него еще не включен. Включайте холодильник [утюг, телевизор, магнитофон] осторожно, он у нас барахлит.",Snom V Sacc,2,НВ включать,Change_operational_state,ExactMatch,,
включить,3,1,,1625,включить 3.1,3.1_Его программа включала [в себя] лучшие образцы мирового оперного искусства.,Его программа включала (в себя) лучшие образцы мирового оперного искусства.,Snom V Sacc [в + себя],3. <обычно НВ>,НВ включать,Inclusion,ExactMatch,,
включиться,1,1,,1626,включиться 1.1,"1.1_Приехав, он сразу включился в работу.","Приехав, он сразу включился в работу [в дискуссию, в обычный круг забот]. Молодежная бригада включается в соцсоревнование.",Snom V в + Sacc,1,НВ включаться,Participation,ExactMatch,,
включиться,2,1,,1627,включиться 2.1,2.1_Мотор не включился.,"Мотор [прибор, утюг, магнитофон] не включился [никак не включается].",Snom V,2,НВ включаться,Change_operational_state,ExactMatch,,
вкладываться,2,1,посессивный,17826,вкладываться 2.1,2.1_Он не очень вкладывался в это дело.,Он не очень вкладывался в это дело.,Snom _V_ {ADV / PRкуда + Sx},2. (вкладывать свои усилия),НВ вкладываться,Giving,ExactMatch,,
вмещать,1,1,,1646,вмещать 1.1,1.1_Этот шкаф вмещает больше тысячи книг.,Этот шкаф вмещает [может вместить] больше тысячи книг.,Snom V {ADV / Sacc},1,СВ вместить,Containing,ExactMatch,,
возглавлять,1,1,,1709,возглавлять 1.1,1.1_Петр возглавлял комитет.,"Петр возглавлял комитет [сельсовет] (с момента его возникновения). После смерти генерала армию [движение, комиссию] возглавил его сын.",Snom V Sacc,,СВ возглавить,Leadership,ExactMatch,,
возглавлять,2,1,,11653,возглавлять 2.1,2.1_Абрамович возглавляет рейтинг самых богатых людей России,Абрамович возглавляет рейтинг самых богатых людей России,Snom V Sacc,,,Leadership,ExactMatch,,
воздействовать,1,1,,1710,воздействовать 1.1,1.1_Воспитатель умел воздействовать на ребенка.,Воспитатель умел воздействовать на ребенка. Декабристы воздействовали на поэта.,Snom V на + Sacc,,НВ воздействовать,Subjective_influence,ExactMatch,,
возникнуть,1,1,начало существования,1739,возникнуть 1.1,1.1_Возникли новые города.,Возникают новые города. Когда возник этот вопрос?,Snom V,,НВ возникать,Coming_to_be,ExactMatch,,
волноваться,1,1,движение/эмоция,201,волноваться 1.1,1.1_Студенка очень волновалась.,Студенты волновались перед экзаменом. Больной волновался перед операцией.,Snom V,1,СВ нет,Emotion_active,ExactMatch,,
воспользоваться,1,1,,12862,воспользоваться 1.1,1.1_Он воспользовался услугой.,Он воспользовался моими услугами.,Snom V Sins,,,Using,ExactMatch,,
врать,1,1,речь,1826,врать 1.1,1.1_Он бессовестно врал.,"Он бессовестно [нагло] врал. Этот человек врет, не верьте ему.",Snom V,1,СВ соврать,Prevarication,ExactMatch,,
вспомнить,1,1,ментальный,1857,вспомнить 1.1,1.1_Она вспоминает свою молодость.,"Она вспоминает свою молодость [пережитое, дорогие черты]. Он, наконец, вспомнил стихотворение [слова своего друга, адрес, дату их последней встречи].",Snom V Sacc,,НВ вспоминать,Memory,ExactMatch,,
вспыхнуть,1,1,,1861,вспыхнуть 1.1,1.1_Бумага сразу вспыхнула.,"Бумага [солома, сухая трава] сразу вспыхнула.",Snom V,1,НВ вспыхивать,Fire_burning,ExactMatch,,
встретить,1,1,,1898,встретить 1.1,1.1_Я случайно встретил знакомого.,Я случайно [неожиданно] встретил знакомого.,Snom V Sacc,1,НВ встречать,Encounter,ExactMatch,,
встретить,3,1,,1903,встретить 3.1,3.1_Бойцы встретили неприятеля огнем.,"Бойцы встретили неприятеля огнем [градом пуль]. Публика встречает приговор аплодисментами [насмешками, молчанием]. Крестьяне радостно [без всякого восторга, с радостью] встретили организацию первой в деревне школы. Женщина встретила его слова холодно [враждебно, насмешливо, восторженно].",Snom V Sacc {ADV / Sins / PR + Sx},3,НВ встречать,Meet_with_response,ExactMatch,,
встретить,5,1,,1906,встретить 5.1,5.1_Он встретил в книге незнакомые стихи.,"Он встретил в книге незнакомые стихи. Исследователи встречают в древних рукописях интересные явления [странные ссылки, упоминания какой-то катастрофы].",Snom V Sacc в + Sloc,5,НВ встречать,Becoming_aware,ExactMatch,,
выделиться,4,1,,2051,выделиться 4.1,4.1_Из растений выделяется кислород.,Из растений выделяется кислород.,Snom V из + Sgen,4,НВ выделяться,Emitting,ExactMatch,,
выделяться,1,1,,11886,выделяться 1.1,1.1_Все контуры на местности резко выделяются.,Все контуры на местности резко выделяются.,Snom V {ADV / PRгде + Sx},1,НВ выделяться,Prominence,ExactMatch,,
выключить,1,1,,2141,выключить 1.1,1.1_Машинист выключил газ.,"Машинист выключил газ [мотор, двигатель]. Он выключил свет, и комната погрузилась во тьму. Мы выключаем радио [телефон] в десять часов.",Snom V Sacc,1,НВ выключать,Change_operational_state,ExactMatch,,
вынести,1,1,,2173,вынести 1.1,1.1_Мебель уже всю вынесли.,"Мебель уже всю вынесли. Когда выносили гроб, случилось нечто непредвиденное.",Snom V Sacc,1,НВ выносить,Bringing,ExactMatch,,
вынести,5,1,,2184,вынести 5.1,5.1_Автор вынес примечания в конец книги.,"Автор вынес примечания в конец книги. Отдельные слова были вынесены на поля. Он заглянул в конец диссертации, куда было вынесено оглавление.",Snom V Sacc {ADV / PRкуда + Sx},5,НВ выносить,Placing,ExactMatch,,
вынести,9,1,,2188,вынести 9.1,9.1_Собрание вынесло половинчатое решение.,"Собрание вынесло половинчатое решение [постановление, половинчатую резолюцию].",Snom V Sacc,9,НВ выносить,Statement,ExactMatch,,
вынудить,1,1,,2190,вынудить 1.1,"1.1_Она ловко вынудила его признаться, что он хотел присвоить эти деньги.","Она ловко вынудила его признаться, что он хотел присвоить эти деньги. Под давлением улик преступник вынужден был сознаться. Вы вынуждаете меня уйти.",Snom V Sacc Vinf,,НВ вынуждать,Causation,ExactMatch,,
вынуть,1,1,,2192,вынуть 1.1,"1.1_Вынимай книгу, сейчас начнем заниматься.","Вынимай книгу, сейчас начнем заниматься. Я вынул бумажник и положил его куда-то, а куда — не помню,",Snom V Sacc,,НВ вынимать,Removing,ExactMatch,,
выписать,2,1,,2208,выписать 2.1,2.1_Ученик старательно выписывал буквы.,Ученик старательно выписывал буквы [цифры].,Snom V Sacc,2,НВ выписывать,Spelling_and_pronouncing,ExactMatch,,
вырабатываться,1,1,,11819,выработаться 1.1,1.1_При этом вырабатывается радиочастотная энергия,"При этом вырабатывается радиочастотная энергия, которая вводится в промежуточный слой, рециркулируемый через волновод",Snom V,,,Manufacturing,ExactMatch,,
выработать,1,1,создание физического объекта,2253,выработать 1.1,1.1_Фабрика вырабатывает ткани.,Фабрика вырабатывает ткани [товары широкого потребления]. В прошлом году завод [страна] выработала] вдвое больше товаров.,Snom V Sacc,1,НВ вырабатывать,Manufacturing,ExactMatch,,
выработать,2,1,создание физического объекта,2255,выработать 2.1,"2.1_Теперь он инвалид, много не выработает.","Теперь он инвалид, много не выработает. В прошлом месяце он выработал сто рублей [на десять рублей больше, чем в нынешнем].",Snom V {ADV / Sacc},2. <разг. зарабатывать>,НВ вырабатывать,Earnings_and_losses,ExactMatch,,
выработать,4,1,создание физического объекта,2257,выработать 4.1,4.1_Вам не удалось выработать собственный литературный стиль.,Вам не удалось выработать собственный литературный стиль.,Snom V Sacc,4,НВ вырабатывать,Creating,ExactMatch,,
выразить,1,1,,2260,выразить 1.1,1.1_Он ясно выразил свою мысль.,"Он ясно [четко, кратко] выразил свою мысль [свое мнение, свое желание]. Все выражали удивление [неодобрение] по этому поводу.",Snom V Sacc,1,НВ выражать,Encoding,ExactMatch,,
выразить,2,1,,2264,выразить 2.1,2.1_Эта картина выражает смятение художника.,Эта картина [музыка] выражает смятение художника. Ваш танец не выражает никакой мысли. Его тупое лицо ничего не выражало.,Snom V Sacc,2. <чаще в НВ>,НВ выражать; чаще в НВ,Expressing_publicly,ExactMatch,,
выразить,3,1,,2265,выразить 3.1,3.1_Как выражают объем?,"Как выражают объем [силу тока, массу]?",Snom V Sacc ADV,3,НВ выражать,Encoding,ExactMatch,,
выразиться,1,1,,11496,выразиться 1.1,1.1_На его лице выразилось недоумение.,На его лице выразилось недоумение.,Snom V {в + Sloc / на + Sloc},выразиться 1,НВ выражаться,Coming_to_be,ExactMatch,,
выразиться,2,1,,11498,выразиться 2.1,2.1_Я неудачно выразился.,Я неудачно выразился.,Snom V ADV,выразиться 2,НВ выражаться,Encoding,ExactMatch,,
вырезать,2,1,физическое воздействие,2280,вырезать 2.1,2.1_Мастер вырезал вот этот маленький медальон.,Я приказала вырезать [на медальоне] ваши инициалы (Чехов).,Snom V Sacc,2. создание (гравировка),НВ вырезать,Cutting,ExactMatch,,
вырезать,3,1,физическое воздействие,2283,вырезать 3.1,"3.1_Мальчик дал отцу кусок сосновой коры, и тот вырезал ему отличный корабль.","Мальчик дал отцу кусок сосновой коры, и тот вырезал ему отличный корабль [медведя].",Snom V Sacc,3. создание,НВ вырезать,Cutting,ExactMatch,,
вырезать,4,1,физическое воздействие,2286,вырезать 4.1,4.1_Фашисты вырезали все мужское население.,Фашисты вырезали (в деревне) все мужское население. В 1915 году турки вырезали целые армянские селения.,Snom V Sacc,4,НВ вырезать,Killing,ExactMatch,,
выслушать,1,1,восприятие,2322,выслушать 1.1,1.1_Депутат выслушал посетителя.,Депутат внимательно выслушал посетителя и что-то записал в книжечке.,Snom V Sacc,1,НВ выслушивать,Hearsay,ExactMatch,,
выслушать,2,1,восприятие,2323,выслушать 2.1,2.1_Врач выслушал больного и выписал ему рецепт.,Врач выслушал больного и выписал ему рецепт.,Snom V Sacc,2,НВ выслушивать,Hearsay,ExactMatch,,
вытереть,1,1,физическое воздействие,2369,вытереть 1.1,1.1_Кто же будет посуду вытирать?,"Кто же будет посуду вытирать? Возьми полотенце и вытри руки [шею, лицо].",Snom V Sacc,1,НВ вытирать,Cause_to_be_dry,ExactMatch,,
глотать,1,1,физиология,2445,глотать 1.1,"1.1_Горло очень болит, не могу глотать.","Горло очень болит, не могу глотать. Глотать ему было трудно. Федор пил чай и громко глотал (Чехов).",Snom V,1,СВ нет,Ingestion,ExactMatch,,
глотнуть,1,1,физиология,12207,глотнуть 1.1,1.1_Он только глотнул воды из кружки.,Он лишь глотнул воды из кружки.,Snom V Sacc PRоткуда + Sx,,,Ingestion,ExactMatch,,
глядеть,1,1,восприятие,2448,глядеть 1.1,"1.1_Ну, что ты глядишь?","Ну, что ты глядишь?",Snom V,1,"СВ поглядеть, <редк., разг.> глянуть",Perception_active,ExactMatch,,
глядеть,2,1,восприятие,2457,глядеть 2.1,"2.1_Я вышел на улицу, гляжу, едут наши.","Я вышел на улицу, гляжу, едут наши [соседская собака гонится за кошкой]. Охотник вышел из лесу, глядит - через поле заяц бежит.",Snom V CL,"2. <разг., только наст>",СВ нет,Perception_active,ExactMatch,,
говорить,3,1,речь,2522,говорить 3.1,3.1_Вы говорите чепуху.,"Вы говорите чепуху [лишнее, неправду]. Не верьте ему, он всегда говорит комплименты [любезности]. Я говорю только свое мнение. Когда очередной оратор начал говорить свою речь, в зале потух свет. Ничего интересного он не сказал.",Snom V Sacc,3. <сообщать>,СВ сказать,Statement,ExactMatch,,
господствовать,1,1,,2603,господствовать 1.1,1.1_В XIX веке Англия господствовала на море.,"В XIX веке Англия господствовала на море. В Африке и в Азии господствовали колониальные державы. Наши войска господствовали и на суше, и в воздухе [повсюду].",Snom V {ADV / PRгде + Sx},1,СВ нет,Leadership,ExactMatch,,
греметь,1,1,звук,2636,греметь 1.1,1.1_Гром гремит.,"Гром гремит. Прогремел выстрел, и лось упал. Гремят отодвигаемые стулья. Гремят поезда. Прогремел прощальный салют.",Snom V,1,СВ прогреметь,Make_noise,ExactMatch,,
греметь,2,1,звук,2639,греметь 2.1,2.1_Сторож гремел ключами.,"Сторож гремел ключами. Не греми посудой [стульями], ребенка разбудишь. Гусар упал, гремя саблей.",Snom V Sins,2,СВ загреметь,Make_noise,ExactMatch,,
греметь,3,1,звук,2641,греметь 3.1,"3.1_«Совсем распустились», — гремел старик.","«Да вы тут совсем распустились», — гремел старик.",Snom V «CL»,3. речь,СВ прогреметь,Make_noise,ExactMatch,,
греть,1,1,,2645,греть 1.1,1.1_Солнце уже греет.,Солнце грело (по-летнему).,Snom V,1,СВ нет,Cause_temperature_change,ExactMatch,,
греть,2,1,,2648,греть 2.1,"2.1_Ну, как, греют валенки?","Ну, как, греют валенки?",Snom V,2,СВ нет,Cause_temperature_change,ExactMatch,,
греть,3,1,,2651,греть 3.1,3.1_Охотник греет руки.,Охотник греет руки. Мы сели вокруг костра и стали греть ноги.,Snom V Sacc,3,СВ нет,Cause_temperature_change,ExactMatch,,
греть,4,1,,2653,греть 4.1,4.1_Пора греть воду.,"Пора греть воду [завтрак, суп].",Snom V Sacc,4,СВ нет,Cause_temperature_change,ExactMatch,,
гудеть,1,1,звук,2684,гудеть 1.1,1.1_Струна гудит.,"Струна [самолет] гудит. Ветер [метель] гудит в проводах. Пламя [огонь] гудит в печке. Пчелы [мухи] гудят над медом. Огромный жук гудел густым басом. Толпа гудит, как потревоженный улей.",Snom V,1,СВ нет,Make_noise,ExactMatch,,
гудеть,3,1,звук,2687,гудеть 3.1,3.1_Гудок гудит.,Гудок гудит. Автобус [паровоз] гудит. Пароход прогудел последний раз и отошел от пристани.,Snom V,3,СВ прогудеть,Make_noise,ExactMatch,,
делать,1,1,,2785,делать 1.1,1.1_Что вы сейчас делаете?,"Что вы сейчас делаете? Все, что ему поручали, он делал очень охотно. Мама, перемени мне повязку. Ты это хорошо делаешь (Чехов). Мне поручили собрать вещи, а я до сих пор ничего не сделал.",Snom V Sacc,1,СВ сделать,Intentionally_act,ExactMatch,,
делать,2,1,,2786,делать 2.1,2.1_По утрам отец с сыном делали гимнастику.,По утрам отец с сыном делали гимнастику [дыхательные упражнения]. Студенты учатся сами делать опыты. Вы сделали в диктанте пять ошибок. Мальчик нерешительно сделал шаг к двери. Я сделал выбор и решения своего не изменю. Петр несколько раз делал попытку примириться с женой.,Snom V Sacc,2,СВ сделать,Intentionally_act,ExactMatch,,
делать,5,1,,2791,делать 5.1,"5.1_Вы всегда знаете, что вы делаете.","Вы всегда знаете, что вы делаете.",Snom V Sacc,5. <поступать>,СВ сделать,Intentionally_act,ExactMatch,,
делать,8,1,,2798,делать 8.1,8.1_Военное воспитание делает человека предельно точным.,Военное воспитание делает человека предельно точным [собранным]. Одежда делала его похожим на бродягу,Snom V Sacc {Ains / Sins},8. неодуш.,СВ сделать,Causation,ExactMatch,,
делать,9,1,,12074,делать 9.1,"9.1_Из этой тенденции я делаю вывод, что все бесполезно","Из этой тенденции я делаю вывод, что все бесполезно.",Snom V из + Sgen Sacc,9. ЛФ мент.,,Coming_to_believe,ExactMatch,,
демонстрировать,1,1,,18449,демонстрировать 1.1,1.1_Телевидение будет демонстрировать фильм о нашей школе.,Телевидение будет демонстрировать фильм о нашей школе.,Snom V Sacc,1,СВ продемонстрировать,Cause_to_perceive,ExactMatch,,
длиться,1,1,,2886,длиться 1.1,1.1_Недолго длилась наша беседа.,Недолго длилась наша беседа. Сколько будет длиться защита диссертации? Осада длилась шесть месяцев. Голодовка политзаключенных длится уже четырнадцатый день.,Snom V {ADV / Sacc},,СВ нет,Duration_relation,ExactMatch,,
добиваться,3,1,,12986,добиться 3.1,3.1_К вам какая-то гражданка добивается.,К вам какая-то гражданка добивается.,Snom V к + Sdat,3. добиваться встречи,,Seeking_to_achieve,ExactMatch,,
добиться,1,1,,2894,добиться 1.1,"1.1_Я верю, вы добьетесь своего.","Я верю, вы добьетесь своего [своей цели, осуществления своих замыслов, победы, славы, высоких урожаев]. Защитник добивается полного оправдания подсудимого.",Snom V Sgen,1,НВ добиваться,Accomplishment,ExactMatch,,
добиться,2,1,,2898,добиться 2.1,"2.1_Я не успокоюсь, пока не добьюсь ответа на свой вопрос.","Я не успокоюсь, пока не добьюсь ответа на свой вопрос.",Snom V Sgen,2,НВ добиваться,Accomplishment,ExactMatch,,
дождаться,1,1,,2938,дождаться 1.1,1.1_Мы дождались мулов.,"Надо было дождаться мулов во что бы то ни стало (Арсеньев). Гости были голодны, но терпеливо дожидались хозяина.",Snom V Sgen,1,НВ дожидаться,Waiting,ExactMatch,,
доказать,1,1,,2959,доказать 1.1,1.1_Он доказал теорему Ферма.,"Никому до сих пор не удалось доказать теорему Ферма. Лобачевский и Больяи не стали доказывать пятого постулата Эвклида, а выдвинули новый постулат. Защитник неопровержимо доказал на суде невиновность обвиняемого [ошибочность обвинения]. Он доказывает свою правоту.",Snom V Sacc,1,НВ доказывать,Reasoning,ExactMatch,,
доказать,2,1,,2963,доказать 2.1,2.1_Наука доказала плодотворность идей генетики.,Наука [практика] доказала плодотворность идей генетики.,Snom V Sacc,2,НВ доказывать,Evidence,ExactMatch,,
дополнить,1,1,,2991,дополнить 1.1,1.1_Петр дополнил мой рассказ.,Петр дополнил мой рассказ. Второе издание книги было переработано и дополнено.,Snom V Sacc,,НВ дополнять,Rest,ExactMatch,,
допросить,1,1,речь,2993,допросить 1.1,1.1_Следователь допросил обвиняемого.,Следователь допросил обвиняемого [всех свидетелей этого преступления].,Snom V Sacc,1,НВ допрашивать,Questioning,ExactMatch,,
допросить,2,1,речь,2996,допросить 2.1,"2.1_Послушай, ты форменным образом допрашиваешь меня.","Послушай, ты форменным образом допрашиваешь меня.",Snom V Sacc,2. <разг.>,НВ допрашивать,Questioning,ExactMatch,,
допускать,5,1,,3004,допускать 5.1,"5.1_Я все это допускаю и все-таки не могу понять, почему он оставил жену.","Я все это допускаю и все-таки не могу понять, почему он оставил жену. Физики не допускают такой возможности [существования скоростей, превышающих скорость света].",Snom V Sacc,5,СВ допустить,Awareness,ExactMatch,,
добыть,2,1,посессивный,2909,добыть 2.1,2.1_Бригада добыла тысячу тонн угля сверх плана.,Бригада добыла тысячу тонн угля [руды] сверх плана.,Snom V Sacc,2,НВ добывать,Mining,ExactMatch,,
занять,4,1,посессивный,3608,занять 4.1,4.1_Кто занял первое место?,Кто занял первое место? Трое из участников нашей сборной заняли призовые места.,Snom V Sacc,4,НВ занимать,Occupy_rank,ExactMatch,,
достигнуть,1,1,,3037,достигнуть 1.1,1.1_На рассвете корабль достиг берега.,"На рассвете корабль достиг берега [острова]. На пятый день восхождения альпинисты достигли вершины. Выстрел прогремел раньше, чем он достиг леса.",Snom V Sgen,1,НВ достигать,Arriving,ExactMatch,,
